Work_Location,Age,Experience_Years,Work_Hours_Per_Week,Salary,Sleep_Hours,Social_Interactions,Productivity,Isolation_Score,WellBeing_Score,Stress_Level
Remote,47,15.9,44.8,12353,6.3,3.6,67.2,7.82,3.13,High
Office,36,13.1,43.6,9309,9,0.1,67.4,2.69,3.4,High
Hybrid,30,7.1,50.2,8772,7,0,52.6,4.03,2.33,High
Remote,40,15.8,46.7,12067,6.6,5.5,78.7,8.46,2.07,High
Remote,35,12.8,37,10399,6.9,5.7,75.7,5.17,1.99,High
Office,45,15.5,51.8,11199,5,8.4,71,3.96,2.88,High
Hybrid,35,13.3,47,9338,5,6.7,59.2,3.09,4.21,High
Remote,34,8.6,43.9,8884,6.2,6.1,48.9,6,3.92,High
Remote,32,9.9,39.5,9889,8.1,0.1,65.7,6.55,2.75,High
Remote,36,12,41,10329,6,4.3,68.6,7.06,2.32,High
Office,33,8.9,54.4,7366,5.1,5.9,70,3.35,2.84,High
Office,37,11,49.3,9188,7.8,5.9,80.8,2,4.48,High
Office,28,6.3,44.2,7153,5.6,5,71.7,1.77,3.98,High
Hybrid,38,10.8,46.5,10188,8.1,5.3,83.9,3.32,4.26,High
Remote,36,15,38.6,11018,6.6,3.8,70.8,5.92,3.19,High
Remote,35,12.6,48.8,10729,6,3.3,72.9,8.52,1.08,High
Office,24,2.5,56.2,5658,5.5,4.4,59.4,2.77,1.08,High
Remote,21,0,39.1,6144,5.5,8.7,79.8,3.86,4.05,High
Hybrid,21,0,44.3,5713,5.7,3.1,86.2,3.87,2.35,High
Remote,39,12.9,39.4,10719,5.1,3.9,76.5,8.01,1.78,High
Remote,34,12.7,37.1,11465,8.8,3.1,84.5,8.02,3.23,High
Remote,25,3.1,46.9,7236,6.1,5,61.9,5.01,4.34,High
Office,21,0,49.9,6230,4.7,0.7,69.6,2.49,0.88,High
Remote,29,6,42.8,8713,7.3,5.1,80.6,7.62,4.12,High
Remote,21,0,40.7,6561,6.7,6.5,74,8.8,4.24,High
Office,30,8,46,8592,5.8,7.8,72.2,2.75,4.47,High
Remote,41,14.9,45.3,11231,7.6,5,57.7,8.51,3.01,High
Remote,29,5.8,38.3,8802,5.7,5.2,83.6,7.64,2.31,High
Remote,32,8.7,42.8,9233,5.9,7.1,62.4,7.33,2.67,High
Remote,21,0,45,7039,7,7.4,71.4,8.56,3.11,High
Office,47,18.1,53.8,11410,6.2,5.4,66.7,2.76,3.59,High
Remote,38,11.7,51.3,11267,5.9,6.2,64.6,7.01,2.73,High
Office,30,5.9,50.1,7798,6.5,0,80.6,4.53,2.69,High
Office,32,6.8,52.6,8334,5.3,4.2,90.1,4.32,3.28,High
Office,33,7.8,46.8,8841,6.2,7.4,77.8,3.59,4.11,High
Office,43,21.5,39.9,11193,6,6,89.6,0.5,4.2,High
Office,32,8.7,47,8544,6.2,6.8,79.4,1.94,4.98,Medium
Office,28,6.8,58.1,7302,5.8,2.4,54.4,2.44,3.89,High
Remote,32,8,42,10160,7,0.3,79.4,6.13,1.5,High
Hybrid,29,7.6,49.1,9752,5.6,3.5,48.3,5.61,1.45,High
Remote,21,0,35.5,7339,5.3,3.3,80.8,6.29,1.14,High
Remote,40,13.5,32.6,10926,7.2,7.6,96.3,7.15,3.72,High
Hybrid,33,8.1,44.5,9481,5.6,3.5,65,4.34,2.68,High
Remote,28,5.3,52.5,8706,5.5,3,64.2,7.73,1.16,High
Remote,24,2.1,38.2,8058,8.3,6.2,85.1,9.12,3.58,High
Office,33,9.5,46.5,8164,6,3.5,64.2,2.3,4.59,Medium
Office,33,10.8,50.7,9726,4.5,7.2,81.7,2.27,4.65,Medium
Remote,32,8.9,38.7,9845,6.9,5.6,71,8.92,3.35,High
Hybrid,24,2.1,43.1,7285,5.4,4.7,63.4,3.69,3.01,High
Remote,41,17,45.5,11590,5.2,5.1,64.4,6.76,1.94,High
Remote,25,3.6,41.4,7725,6.5,7.3,65.2,6.73,4.14,High
Remote,40,16.5,39.3,12254,6.4,5.6,85.2,6.84,4.2,High
Remote,24,2.4,35.3,7390,7.3,6.3,81.6,6.55,3.69,High
Office,21,0,50,5862,6.3,5.6,72.7,3.33,3.88,High
Office,36,12,47.4,8947,6,3.6,72.7,2.21,3.37,High
Office,26,4.7,47.1,6707,6.3,4.2,71.7,2.67,3.15,High
Office,33,9.3,40.2,9022,7.9,2.1,73.7,4.11,1.89,High
Remote,37,14.6,35.9,11714,7.5,4.2,80.9,4.42,3.28,High
Remote,21,0,37.3,6974,6.9,2.6,78.7,7.84,2.2,High
Office,38,14.1,44.6,9237,7.6,7.1,77.3,2.91,4.89,Medium
Office,28,4.7,43.1,6843,5.5,6.8,68.5,2.63,3.26,High
Hybrid,25,2.6,51.2,8471,7.4,7.9,67.9,4.12,3.61,High
Office,29,6.9,45.2,8878,7.1,4.4,59.8,2.32,2.23,High
Remote,28,5.7,40.4,8499,8.6,6.9,89.8,7.6,5.26,Medium
Office,22,0.8,39.2,6030,7.3,3.9,87.9,1.74,3.74,High
Office,21,0,47.9,5315,6.2,2.1,86,4.09,1.41,High
Office,33,10.1,55.6,8999,4.6,2,60.4,3.21,2.01,High
Hybrid,26,3.8,42.3,7798,6.1,4.7,59.7,3.69,2.46,High
Office,29,6.9,47.3,7896,8.6,4.2,65.3,2.62,4.86,Medium
Remote,31,7.2,42.7,9307,8,2.4,87.6,7.63,3.22,High
Remote,25,3,40.4,6981,7.6,2.7,81.9,4.86,2.53,High
Office,25,3.7,44.3,6875,6,4.5,52.9,2.38,2.55,High
Remote,29,6.1,47.5,8456,5.1,2.7,65,7.1,1.65,High
Hybrid,21,0,48.7,6283,7.3,4,73.4,4.16,3.55,High
Hybrid,39,14.3,41.6,10660,6.5,4.9,86.6,3.46,2.72,High
Office,36,12.4,48.8,8808,6.7,6.6,76.6,2.8,4.49,High
Remote,26,3.7,46,7668,7.9,6.8,77.4,8.15,4.17,High
Remote,33,8.9,30,9762,6.6,7,72.3,4.8,4.44,High
Hybrid,21,0,42.4,5690,6.5,4.6,81.7,5.53,3.36,High
Remote,37,11.9,39.6,10480,7.3,6.8,65.3,5.28,3.23,High
Remote,28,6.7,40,9723,7,4.5,78,5.06,3.78,High
Hybrid,32,8,40,8400,7.8,5.5,69.9,2.73,3.59,High
Remote,25,2.9,40.2,8223,6.9,7.5,79.3,8.3,4.31,High
Office,49,27.4,57,12598,7.3,1.8,81.3,3.47,3.76,High
Remote,29,5.9,32.4,8628,8.6,5.2,82.5,7.92,3.51,High
Remote,30,8.7,40.3,9221,7.2,4.5,85.1,8.76,2.29,High
Remote,27,5.7,45.3,7392,5,0,72.2,8.98,0.57,High
Hybrid,29,5.5,42.7,8297,7.5,4.4,75.3,2.09,4.65,Medium
Remote,36,11.7,35.9,11306,5.6,3,89.4,7.72,2.87,High
Office,32,9.5,49.3,9101,6.8,5.4,61.7,1.97,4.57,Medium
Remote,33,8.5,39,8934,6.3,6.3,68.4,6.87,2.64,High
Office,37,10.3,47.8,9486,5,3.5,51.1,1.62,2.38,High
Hybrid,28,6.8,43.8,8553,6.8,3.4,76.5,2.25,1.51,High
Office,22,0.8,49.6,5056,6.3,9,67.6,0.64,5.54,Medium
Remote,29,5.3,43.5,8548,7,1.6,96.1,7.37,1.47,High
Hybrid,49,26.7,42.2,13580,7.2,8.4,81.4,5,4.46,High
Remote,37,10.4,36.7,9754,4.6,7.5,80.7,5.77,3.41,High
Hybrid,31,8.9,42.2,8537,4.1,4.3,53.2,3.53,2.01,High
Hybrid,36,9.2,48.1,8688,7.6,7.5,95.8,2.86,5.85,Medium
Office,39,16.7,37.8,10812,7.9,6.7,77.8,2.3,4.01,High
Remote,41,15.2,42.1,10748,6.2,2.6,62.6,8.58,2.76,High
Remote,37,9.9,44.7,11348,5,2.3,62.9,6.89,1.45,High
Remote,33,8.8,44.2,9399,6.2,3.4,52.1,7.22,2.17,High
Office,36,12.8,52.7,9556,5.8,4.8,64.4,2.39,5.21,Medium
Remote,23,1.7,39.1,8029,5.8,6.7,89.2,5.62,4.81,Medium
Office,25,3.2,45.5,6090,7.1,0.8,74.7,2.82,0.64,High
Office,48,22.9,52.6,11493,5.4,6.1,56.1,2.67,3.84,High
Remote,30,7.1,40.8,8998,4,7,49.3,7.24,1.87,High
Hybrid,26,3.7,43.9,7600,5.7,5.2,53.2,2.91,4.5,High
Remote,33,8,40.6,8242,5.2,7.1,67.8,10,2.17,High
Office,25,2.9,44.7,7008,5.3,6.3,68.5,2.07,3.91,High
Remote,42,18.6,32.5,12176,5.4,0.8,56.4,4.52,2.59,High
Office,35,9.4,54.2,9176,6.1,3.7,55.2,2.54,2.48,High
Office,42,19.9,42,12284,6.3,6.9,95.6,2.99,5.14,Medium
Office,35,12.3,42,9888,6.4,3.4,80.4,2.07,3.9,High
Hybrid,29,6.4,45.6,7906,4.1,7.2,76.2,3.28,3.52,High
Hybrid,41,17.1,40.2,12352,6.9,5.4,69.5,3.8,3.55,High
Office,30,6.3,47,8182,5,2.9,72.8,2.31,2.62,High
Remote,32,7.2,37.7,9858,6.4,7.4,67.5,7.51,4.56,Medium
Office,27,4.7,35.5,7458,6.1,6.4,64,3.5,3.32,High
Remote,44,14,37.3,11082,6.1,6.2,78.4,5.26,4.13,High
Remote,33,8.1,40.6,8910,5.5,5.1,60.2,5.32,2.56,High
Hybrid,38,14.9,40.9,11154,6.1,6.6,79.5,3.56,1.79,High
Office,37,11.7,37.8,9212,6,6,82.5,1.8,2.78,High
Remote,35,12.5,36.4,10278,5.3,4.1,84.8,7.65,1.93,High
Hybrid,35,11,51,9529,7.3,6.4,60.6,6.87,2.62,High
Office,41,18.8,46.5,11055,6.4,4.7,74.4,2.29,3.36,High
Remote,28,6.7,40,9054,5.3,5.4,67.7,5.13,2.51,High
Hybrid,31,7,43.9,8564,7.6,3,77.9,2.77,3.39,High
Remote,21,0,39.4,7402,6.6,3.9,80.7,9.33,2.75,High
Remote,27,4.8,47.1,7777,6.6,6.5,76.1,7.01,3.82,High
Office,44,18.9,38.5,11429,7.7,3.3,75.7,1.03,4.34,High
Remote,31,9.6,45.4,10685,6.5,8,73.4,8.01,3.83,High
Remote,37,12.8,41.8,10746,7.5,5.7,89,8.32,4.74,Medium
Remote,39,10.8,34.2,10715,5.5,4.2,66.3,8.64,2.54,High
Remote,21,0,43.4,7475,5.1,4.3,75.5,8.92,2.12,High
Office,22,0.8,53.2,5890,7.5,7.3,70.1,1.83,4.62,Medium
Remote,49,18.9,37.2,12958,6.3,4.3,64.2,6.62,1.95,High
Remote,32,10.9,48,10002,6.3,5,60.3,8.31,2.13,High
Remote,38,16.3,38.8,11033,6.1,6,85.1,6.01,2.87,High
Remote,44,16.2,38.1,12162,7.1,9,64.8,10,3.28,High
Hybrid,43,16.3,43.1,11544,7.7,3.3,63.1,4.52,3.56,High
Hybrid,33,9.5,45.4,9443,5.6,6.1,75.4,6.03,1.65,High
Remote,35,13.9,44,10361,7.4,4.9,72.5,8.04,2.12,High
Office,29,6.4,48.1,6860,6.4,3.2,77.4,2.5,4.84,Medium
Remote,26,3.3,38.4,7778,5.5,9.8,62.8,6.78,4.08,High
Hybrid,28,6.1,37.7,8037,6.6,6.3,80.4,6.04,2.78,High
Hybrid,30,6.8,50.7,8792,7.9,4.7,69.1,5.49,2.98,High
Remote,21,0,42.3,6805,7.4,8.2,71.6,8.05,2.41,High
Office,35,12.9,43.1,9029,5.3,10,75.9,3.03,5.19,Medium
